db_code,family,plant_species,plant_part,ethnobotanical_uses,biological_activity_plant_extract,phytochemical,phytochemical_class,pharmacological_activities_compound,dosage,toxicity,references,database_source,search_code,pharmacological_activity_compound,source_database,db_code_phytochemical_name
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,ash,,,,,,Dr Duke,,,,
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,calcium,,"Antiallergic, Antianxiety, Antiarrhythmic, Antiarthritic, Antiatherosclerotic, Anticlimacteric, Antidepressant, Antidote (aluminum), Antidote (lead), Antihyperkinetic, Antihypertensive, Antiinsomniac, Antimenopausal, Antiobesity, Antiosteoporotic, Antiperiodontitic, Antipms, Antirheumatic, Antistress, Antitic, Anxiolytic, Calcium-channel-blocker, Diuretic, Hypocholesterolemic, Hypotensive, Laxative, Tranquilizer, Vasodilator","1 g/day, 500 mg/day, nan, 500-2,000 mg/day, 750 mg/day, 1,000 mg/day, 500-1,500 mg, 1,000-1,500 mg/day, 500-1,500 mg/day, 1,000-1,200 mg","PTD=12,000 mg/day",,Dr Duke,,,,
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,carbohydrates,,,,,,Dr Duke,,,,
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,fat,,,,,Wealth of India.,Dr Duke,,,,
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,fiber,,"Angiotensin-receptor-blocker, Antidiabetic, Antihypertensive, Antiobesity, Antitumor, Antiulcer, Beta-blocker, Cancer-preventive, Cardioprotective, Diuretic, Hypocholesterolemic, Hypotensive, Hypouricemic, Laxative, Vasodilator","nan, 10 g/man/day/orl",RDA=20-35 g/day,"Wealth of India.

Anderson, J.W. Dietary Fiber and Human Health. HortScience, 25(12): 1488, 1990.",Dr Duke,,,,
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,magnesium,,"Antiaggregant, Antialcoholic, Antianginal, Antianorectic, Antianxiety, Antiarrhythmic, Antiarthritic, Antiasthmatic, Antiatherosclerotic, Anticephalagic, Anticfs, Anticlimacteric, Anticonvulsant, Anticoronary, Antidepressant, Antidiabetic, Antidysmenorrheic, Antiendometriotic, Antienterotic, Antiepileptic, Antifatigue, Antifibromyalgic, Antigastrotic, Antiglaucomic, Antihyperkinetic, Antihypertensive, Antihypoglycemic, Antiinflammatory, Antiinsomniac, Antilithic, Antilyme, Antimastalgic, Antimenopausal, Antimigraine, Antimitral-valve-prolapse, Antims, Antinephrolytic, Antineurotic, Antiosteoporotic, Antiplaque, Antipms, Antiraynaud's, Antiretinopathic, Antispasmodic, Antispasmophilic, Antistress, Antistroke, Antisyndrome-x, Anxiolytic, Calcium-antagonist, Cardioprotective, Cns-depressant, Diuretic, Hypocholesterolemic, Hypotensive, Immunomodulator, Insulinogenic, Laxative, Litholytic, Myorelaxant, Neurotransmitter, Tranquilizer, Uterorelaxant, Vasodilator","400-800 mg/day/wmn/orl, 400 mg/day, nan, 400-800 mg/man/day, 100 mg 4 x/day, 450 mg/day, 200 mg/day/man, 500-1,000 mg/day/wmn/orl, 500 mg/day, 260-500 mg/day, 400 mg/man/day, 400-1,000 mg, 500-750 mg/day, 500-1,000 mg/day, 400-800 mg/day/wmn orl, 280-350 mg/day, 300-500 mg/day, 200-300 mg 3x/day",ADI=400-800 mg,"Wealth of India.

Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp.",Dr Duke,,,,
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,oxalicacid,,"Acaricide, Antiseptic, Cns-paralytic, Fatal, Hemostatic, Irritant, Pesticide, Renotoxic, Varroacide",,"LDlo=700-30,000 (orl hmn)",Wealth of India.,Dr Duke,,,,
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,phosphorus,,"Antiosteoporotic, Anxiolytic, Immunostimulant, Osteogenic",,"PTD=12,000 mg/day",Wealth of India.,Dr Duke,,,,
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,potassium,,"Angiotensin-receptor-blocker, Antiarrhythmic, Antidepressant, Antifatigue, Antihypertensive, Antispasmodic, Antistroke, Anxiolytic, Beta-blocker, Cardioprotective, Cardiotoxic, Diuretic, Hypotensive, Vasodilator","nan, 18,000 mg/man/day, 3,000-5,000 mg",,Wealth of India.,Dr Duke,,,,
2367,Zingiberaceae,aframomum melegueta,Fruit,"Ache (tooth), anodyne, aphrodisiac, astringent, carminative, dysentery, enteritis, excitant, fever, gastritis, liquer, malaria, medicine, piscide, preventive (rheumatism), sedative, stimulant, stomachic, styptic, tapeworm, tonic, tumor",,protein,,,,,,Dr Duke,,,,
