plant_species,n_compounds
zingiber officinale,652
nicotiana tabacum,374
carica papaya,292
citrus aurantiifolia,235
momordica charantia,234
capsicum frutescens,233
ocimum gratissimum,196
citrus medica,175
jatropha curcas,163
xylopia aethiopica,124
senna alata,114
citrullus colocynthis,111
ricinus communis,96
spondias mombin,93
rauvolfia vomitoria,71
allium sativum,58
plumbago zeylanica,48
crassocephalum crepidioides,33
cola acuminata,33
aframomum melegueta,31
phyllanthus amarus,27
vernonia amygdalina,24
strophanthus hispidus,19
allium ascalonicum,19
garcinia kola,18
ficus exasperata,17
senna podocarpa,17
curculigo pilosa,13
jatropha gossypiifolia,7
newbouldia laevis,6
gossypium hirsutum,3
picralima nitida,3
culcasia scandens,2
